feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Litter	three	-3.36109855662504	0.725932022437714	31	14	0.000129499646704512	0.0298548666902225
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Site	Proximal_Colon	2.52879100666651	0.502011635932745	31	31	9.47098964057513e-05	0.0298548666902225
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Litter	three	-2.06580703369985	0.453945626683949	31	9	0.00015713087731696	0.0298548666902225
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Litter	four	-2.15184742830275	0.444960105432519	31	9	7.84202616900347e-05	0.0298548666902225
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Cecum	2.35111993634233	0.543613727976166	31	31	0.000272777408340345	0.0345518050564436
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Litter	six	-1.75710988010824	0.40260222468181	31	9	0.000247739165248773	0.0345518050564436
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Proximal_Colon	2.36999172090554	0.535846436508061	31	31	0.000332666620551516	0.0361180902313074
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Litter	four	-2.93985443007642	0.71156272966061	31	14	0.000437564074027324	0.0371480532617682
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Litter	four	-5.46979981851627	0.787227222469651	31	27	0.000439911157047255	0.0371480532617682
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	Litter	two	-6.38967945337197	1.5696372460123	31	27	0.000507497718008137	0.0385698265686184
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Site	Cecum	1.65384465243172	0.397610680481397	31	30	0.000642833484766955	0.044413949856626
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Cecum	2.64981053449507	0.673422545828887	31	31	0.000942582860326304	0.0511687838462851
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	Site	Proximal_Colon	2.54058962410312	0.638894531044008	31	22	0.000923509300076191	0.0511687838462851
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819	Litter	six	-2.34047816071514	0.610545021672151	31	8	0.000904619525841259	0.0511687838462851
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Site	Cecum	2.43224419219323	0.623595180309186	31	31	0.00103734383703912	0.0525587544099822
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Site	Proximal_Colon	1.60217979379836	0.413809127740898	31	30	0.00121440499172139	0.0550330197227841
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Site	Proximal_Colon	1.38105952443258	0.365668652463033	31	31	0.00143437094648549	0.0550330197227841
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Litter	four	-5.04069988426489	0.939898298014669	31	26	0.00173788483335108	0.0550330197227841
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Litter	four	4.37560152606111	1.19127383891119	31	7	0.0013342654034258	0.0550330197227841
k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__Christensenellaceae.R.7.group	Site	Cecum	1.49999650495104	0.403479030656901	31	14	0.00156081248958413	0.0550330197227841
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Cecum	1.89915069842537	0.51469270684651	31	31	0.00167684832475864	0.0550330197227841
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	Site	Proximal_Colon	3.11415787361403	0.863679699366952	31	27	0.00156981855692825	0.0550330197227841
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__Peptococcus	Site	Cecum	1.95301876163404	0.52953150440389	31	30	0.00128626198806657	0.0550330197227841
