"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"1","GLUCOSE1PMETAB.PWY","Genotype","HET",-0.286830752680648,0.122376711094191,82,0,0.0270034409778569,0.0900114699261896,"glucose and glucose-1-phosphate degradation"
"2","GLYCOGENSYNTH.PWY","Genotype","MUT",0.0379118288676763,0.0219462918908533,82,0,0.0953054750762258,0.237643973174599,"glycogen biosynthesis I (from ADP-D-Glucose)"
"3","GLYOXYLATE.BYPASS","Genotype","MUT",-0.143139432609267,0.0732268721677595,82,0,0.0609448068213874,0.166645956152231,"glyoxylate cycle"
"4","GLYOXYLATE.BYPASS","Genotype","HET",-0.1498422588458,0.0713133976117297,82,0,0.0458253501509716,0.135007344720876,"glyoxylate cycle"
"5","HOMOSER.METSYN.PWY","Genotype","MUT",-0.106688131887639,0.0533375242455604,82,0,0.0563340513379532,0.156732257299552,"L-methionine biosynthesis I"
"6","HSERMETANA.PWY","Genotype","MUT",-0.186361970069227,0.0633194604448261,82,0,0.00659915870353025,0.0258935599353766,"L-methionine biosynthesis III"
"7","MET.SAM.PWY","Genotype","MUT",-0.106835216554828,0.0498399051057335,82,0,0.041956804097278,0.126312794786113,"superpathway of S-adenosyl-L-methionine biosynthesis"
"8","P23.PWY","Genotype","MUT",-0.165633537545044,0.0672446936803172,82,0,0.0208529642932659,0.0707222626225104,"reductive TCA cycle I"
"9","P23.PWY","Genotype","HET",-0.138499580551661,0.06554169923402,82,0,0.0454119101286914,0.134925030093735,"reductive TCA cycle I"
"10","P4.PWY","Genotype","MUT",-0.0694284986215247,0.0340481352970937,82,0,0.0524423863795154,0.148464866117276,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"11","PEPTIDOGLYCANSYN.PWY","Genotype","MUT",0.0330950570556904,0.0195425001081307,82,0,0.101533492567865,0.249205626919724,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)"
"12","PWY.2942","Genotype","MUT",0.0260009354369102,0.0140219602958708,82,0,0.0744747176338389,0.195398434571541,"L-lysine biosynthesis III"
"13","PWY.3781","Genotype","MUT",-0.15243962460891,0.0719926528185518,82,0,0.0433765638853698,0.12953752013549,"aerobic respiration I (cytochrome c)"
"14","PWY.3781","Genotype","HET",-0.141443020516851,0.0700640107515349,82,0,0.0541892447130642,0.152216979531079,"aerobic respiration I (cytochrome c)"
"15","PWY.5097","Genotype","MUT",0.0284288108741793,0.0154277221620804,82,0,0.0762526105660834,0.19887044484448,"L-lysine biosynthesis VI"
"16","PWY.5345","Genotype","MUT",-0.153214033519544,0.0756073432815858,82,0,0.052687975655208,0.148476581959121,"superpathway of L-methionine biosynthesis (by sulfhydrylation)"
"17","PWY.5347","Genotype","MUT",-0.0845301421192498,0.0423259750131812,82,0,0.0493919917304456,0.141991468412765,"superpathway of L-methionine biosynthesis (transsulfuration)"
"18","PWY.5855","Genotype","HET",-0.217104523949311,0.103990505548203,82,0,0.0468137113252615,0.135411561684641,"ubiquinol-7 biosynthesis (prokaryotic)"
"19","PWY.5856","Genotype","HET",-0.217104523949311,0.103990505548203,82,0,0.0468137113252615,0.135411561684641,"ubiquinol-9 biosynthesis (prokaryotic)"
"20","PWY.5857","Genotype","HET",-0.217104523949311,0.103990505548203,82,0,0.0468137113252615,0.135411561684641,"ubiquinol-10 biosynthesis (prokaryotic)"
"21","PWY.5918","Genotype","MUT",-0.16409030474893,0.0942888123224154,82,0,0.0929978073274227,0.234167140752503,"superpathay of heme biosynthesis from glutamate"
"22","PWY.5973","Genotype","MUT",0.0271918492879213,0.0152924329688359,82,0,0.0866449372141206,0.220711266557076,"cis-vaccenate biosynthesis"
"23","PWY.6121","Genotype","MUT",0.0389213231484892,0.0180866901003669,82,0,0.0405570529036683,0.123649551535574,"5-aminoimidazole ribonucleotide biosynthesis I"
"24","PWY.6122","Genotype","MUT",0.0425687621110422,0.0204244782949496,82,0,0.0467506062797919,0.135411561684641,"5-aminoimidazole ribonucleotide biosynthesis II"
"25","PWY.6123","Genotype","MUT",0.0386264891395981,0.0189135620862222,82,0,0.0508087992349658,0.145286599119592,"inosine-5'-phosphate biosynthesis I"
"26","PWY.6277","Genotype","MUT",0.0425687621110422,0.0204244782949496,82,0,0.0467506062797919,0.135411561684641,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
"27","PWY.6386","Genotype","MUT",0.0323855627699517,0.0190596051776399,82,0,0.100452124789167,0.247245032884729,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
"28","PWY.6708","Genotype","HET",-0.217104523949311,0.103990505548203,82,0,0.0468137113252615,0.135411561684641,"ubiquinol-8 biosynthesis (prokaryotic)"
"29","PWY.7211","Genotype","MUT",-0.119060014515754,0.0643671881159601,82,0,0.0758329306991166,0.198071087646946,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"
"30","PWY.7219","Genotype","MUT",0.0299104274470838,0.0174754244768775,82,0,0.0981514429381319,0.242949116183495,"adenosine ribonucleotides de novo biosynthesis"
"31","PWY.7539","Genotype","MUT",-0.0761391301041734,0.0439441784506269,82,0,0.0947327063430413,0.237274813835377,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)"
"32","PWY.7663","Genotype","MUT",0.0242528661951153,0.0142106199222035,82,0,0.099347250395798,0.245215357112336,"gondoate biosynthesis (anaerobic)"
"33","PWY0.781","Genotype","MUT",-0.0850173273363918,0.0337952210015487,82,0,0.0191981631742358,0.0656187217869389,"aspartate superpathway"
"34","PWY0.845","Genotype","HET",-0.152867894860428,0.086499239269941,82,0,0.0892354808091383,0.225667762161838,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"35","PYRIDOXSYN.PWY","Genotype","HET",-0.161155504106221,0.0892688599509337,82,0,0.082921178613852,0.213086729183908,"pyridoxal 5'-phosphate biosynthesis I"
"36","THRESYN.PWY","Genotype","MUT",0.0354083715820868,0.0177793001377958,82,0,0.0564663577007966,0.156788712381575,"superpathway of L-threonine biosynthesis"
"37","UBISYN.PWY","Genotype","HET",-0.218857864284777,0.104278723820941,82,0,0.0457493334763574,0.135007344720876,"superpathway of ubiquinol-8 biosynthesis (prokaryotic)"
