feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium	Sequencing_Run	SLCMicrobiome	-6.18303867531354	0.328308724473809	51	38	5.70688010237243e-23	3.05318085476925e-20
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	Sequencing_Run	SLCMicrobiome	-5.84499841841452	0.429579190148932	51	48	1.481608992503e-17	3.96330405494552e-15
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Proximal_Colon	2.44449597774306	0.244514000203365	51	51	2.9305364272483e-11	5.22612329525947e-09
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Fusicatenibacter	Sequencing_Run	SLCMicrobiome	1.98384461243141	0.237697504871651	51	14	1.08668678531991e-10	1.45344357536538e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Site	Proximal_Colon	2.51102085445664	0.27531384488604	51	51	1.50658355260572e-10	1.61204440128812e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	Site	Proximal_Colon	3.19380010228216	0.355175059331826	51	51	2.53473678681678e-10	2.2601403015783e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria	Sequencing_Run	SLCMicrobiome	-4.00628335543308	0.260847594875451	51	36	5.06830964615993e-10	3.87363665813652e-08
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella_9	Sequencing_Run	SLCMicrobiome	1.94737221912268	0.272440595853335	51	15	6.15299954010704e-09	4.11481844244658e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Site	Proximal_Colon	2.13329501395469	0.276316246813593	51	51	8.94023589667638e-09	5.12106839385475e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.AD3011.group	Sequencing_Run	SLCMicrobiome	2.68364568387499	0.382377222519406	51	21	9.57209045580327e-09	5.12106839385475e-07
