OTU ID	SLCLTDTT026	SLCLTDTT027	SLCLTDTT031	SLCLTDTT032	SLCLTDTT033	SLCLTDTT037	SLCLTDTT038	SLCLTDTT039	SLCLTDTT043	SLCLTDTT044	SLCLTDTT045	SLCLTDTT049	SLCLTDTT050	SLCLTDTT051	SLCLTDTT055	SLCLTDTT056	SLCLTDTT057	SLCLTDTT061	SLCLTDTT062	SLCLTDTT063	SLCLTDTT067	SLCLTDTT068	SLCLTDTT069	SLCLTDTT073	SLCLTDTT074	SLCLTDTT075	SLCLTDTT079	SLCLTDTT080	SLCLTDTT081	SLCLTDTT091	SLCLTDTT001	SLCLTDTT002	SLCLTDTT003	SLCLTDTT007	SLCLTDTT008	SLCLTDTT009	SLCLTDTT013	SLCLTDTT014	SLCLTDTT015	SLCLTDTT019	SLCLTDTT020	SLCLTDTT021	SLCLTDTT025	SLCLTDTT092	SLCLTDTT093	SLCLTDTT097	SLCLTDTT098	SLCLTDTT099	SLCLTDTT103	SLCLTDTT104	SLCLTDTT105	SLCLTDTT109	SLCLTDTT110	SLCLTDTT111	SLCLTDTT115	SLCLTDTT116	SLCLTDTT117	SLCLTDTT121	SLCLTDTT122	SLCLTDTT123	SLCLTDTT127	SLCLTDTT128	SLCLTDTT129	SLCLTDTT133	SLCLTDTT134	SLCLTDTT135	SLCLTDTT139	SLCLTDTT140	SLCLTDTT141	SLCLTDTT145	SLCLTDTT146	SLCLTDTT147	SLCLTDTT151	SLCLTDTT152	SLCLTDTT153	SLCLTDTT157	SLCLTDTT158	SLCLTDTT159	SLCLTDTT163	SLCLTDTT164	SLCLTDTT165	SLCLTDTT169	SLCLTDTT170	SLCLTDTT171	SLCLTDTT175	SLCLTDTT176	SLCLTDTT177	SLCLTDTT181	SLCLTDTT182	SLCLTDTT183	taxonomy
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrocosmicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halonotius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halorubrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__;c__;o__;f__;g__	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Paludibaculum;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__;f__;g__	0	0	8	0	0	0	8	0	4	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	6	0	9	0	0	0	6	3	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	3	0	0	7	0	0	12	0	0	
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Pyrinomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
