"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X1","X2","X3","X4","X5","X6","X7","coef_abs"
"1","BIOTIN.BIOSYNTHESIS.PWY","Genotype","MUT",0.319047977003327,0.13423754160825,87,0,0.0197672800716679,0.175688184058116,"biotin biosynthesis I","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.319047977003327
"2","BIOTIN.BIOSYNTHESIS.PWY","Genotype","MUT",0.319047977003327,0.13423754160825,87,0,0.0197672800716679,0.175688184058116,"biotin biosynthesis I","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","BIOTIN-SYN","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis",0.319047977003327
"3","COLANSYN.PWY","Genotype","MUT",-0.0441506305937766,0.0182118528986112,87,0,0.0175104364666561,0.175688184058116,"colanic acid building blocks biosynthesis","Biosynthesis","Carbohydrates-Biosynthesis","Biosynthesis","Carbohydrates-Biosynthesis","Biosynthesis","Carbohydrates-Biosynthesis","Biosynthesis",0.0441506305937766
"4","COLANSYN.PWY","Genotype","MUT",-0.0441506305937766,0.0182118528986112,87,0,0.0175104364666561,0.175688184058116,"colanic acid building blocks biosynthesis","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0441506305937766
"5","FASYN.INITIAL.PWY","Genotype","MUT",0.331408079767584,0.140150455833728,87,0,0.0203806195583133,0.175688184058116,"superpathway of fatty acid biosynthesis initiation (E. coli)","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.331408079767584
"6","FASYN.INITIAL.PWY","Genotype","MUT",0.331408079767584,0.140150455833728,87,0,0.0203806195583133,0.175688184058116,"superpathway of fatty acid biosynthesis initiation (E. coli)","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis",0.331408079767584
"7","GALACT.GLUCUROCAT.PWY","Genotype","MUT",-0.0535262377669018,0.0212970835333898,87,0,0.0138939065460127,0.175688184058116,"superpathway of hexuronide and hexuronate degradation","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0535262377669018
"8","GLUCUROCAT.PWY","Genotype","MUT",-0.0597068238563528,0.0207234361731503,87,0,0.00504172040670738,0.0970030513131634,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation","Degradation","SECONDARY-METABOLITE-DEGRADATION","Sugar-Derivatives","SUGAR-ACIDS-DEG","D-Glucuronate-Degradation","Degradation","SECONDARY-METABOLITE-DEGRADATION",0.0597068238563528
"9","GLUCUROCAT.PWY","Genotype","MUT",-0.0597068238563528,0.0207234361731503,87,0,0.00504172040670738,0.0970030513131634,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0597068238563528
"10","GLUCUROCAT.PWY","Genotype","MUT",-0.0597068238563528,0.0207234361731503,87,0,0.00504172040670738,0.0970030513131634,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation","Degradation","CARBOXYLATES-DEG","SUGAR-ACIDS-DEG","D-Glucuronate-Degradation","Degradation","CARBOXYLATES-DEG","SUGAR-ACIDS-DEG",0.0597068238563528
"11","GLUTORN.PWY","Genotype","MUT",-0.0464553517731579,0.0224816387912176,87,0,0.0419115094505266,0.249633516143283,"L-ornithine biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","Other-Amino-Acid-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","Other-Amino-Acid-Biosynthesis","Biosynthesis",0.0464553517731579
"12","GOLPDLCAT.PWY","Genotype","MUT",-0.176942739795595,0.071218964438067,87,0,0.014983623596361,0.175688184058116,"superpathway of glycerol degradation to 1,3-propanediol","Degradation","Alcohol-Degradation","GLYCEROL-DEG","Degradation","Alcohol-Degradation","GLYCEROL-DEG","Degradation",0.176942739795595
"13","GOLPDLCAT.PWY","Genotype","MUT",-0.176942739795595,0.071218964438067,87,0,0.014983623596361,0.175688184058116,"superpathway of glycerol degradation to 1,3-propanediol","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.176942739795595
"14","HISDEG.PWY","Genotype","MUT",0.1216791687099,0.057300412333558,87,0,0.0366868094523881,0.229011336772142,"L-histidine degradation I","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation","HISTIDINE-DEG","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation",0.1216791687099
"15","NAGLIPASYN.PWY","Genotype","MUT",-0.061510060751993,0.0281316258054012,87,0,0.0315935450230862,0.213060601147424,"lipid IVA biosynthesis","Biosynthesis","Lipid-Biosynthesis","Biosynthesis","Lipid-Biosynthesis","Biosynthesis","Lipid-Biosynthesis","Biosynthesis",0.061510060751993
"16","NAGLIPASYN.PWY","Genotype","MUT",-0.061510060751993,0.0281316258054012,87,0,0.0315935450230862,0.213060601147424,"lipid IVA biosynthesis","Biosynthesis","Cell-Structure-Biosynthesis","Lipopolysaccharide-Biosynthesis","Biosynthesis","Cell-Structure-Biosynthesis","Lipopolysaccharide-Biosynthesis","Biosynthesis",0.061510060751993
"17","P105.PWY","Genotype","MUT",0.483489753154457,0.228474439203662,87,0,0.0373266026846751,0.229011336772142,"TCA cycle IV (2-oxoglutarate decarboxylase)","Energy-Metabolism","TCA-VARIANTS","Energy-Metabolism","TCA-VARIANTS","Energy-Metabolism","TCA-VARIANTS","Energy-Metabolism",0.483489753154457
