"","SampleType","Genotype","Sex","Iron","Cobalt","Copper","Zinc","Cadmium","Manganese"
"1","FP-COL","WT","Female","900.98 ± 33.22","2.16 ± 0.11","48.68 ± 2.68","429.46 ± 23.48","0.34 ± 0.01","172.75 ± 10.66"
"2","FP-COL","WT","Male","713.94 ± 35.62","2.18 ± 0.15","33.23 ± 2.3","279.56 ± 13.65","0.21 ± 0.01","134.01 ± 5.57"
"3","FP-COL","MUT","Female","754.26 ± 62.62","1.77 ± 0.15","37.14 ± 2.28","333.28 ± 24.51","0.27 ± 0.02","140.56 ± 5.91"
"4","FP-COL","MUT","Male","599.97 ± 29.15","1.92 ± 0.1","29.81 ± 2.07","255.81 ± 7.73","0.19 ± 0.01","105.2 ± 6.2"
"5","MUC-COL","WT","Female","330.5 ± 82.67","0.07 ± 0.04","83.22 ± 20.55","284.77 ± 40.01","0.01 ± 0.01","11.83 ± 2.31"
"6","MUC-COL","WT","Male","146.36 ± 34.14","0.05 ± 0.04","40.5 ± 12.32","179.89 ± 76.96","0 ± 0","4.52 ± 1.03"
"7","MUC-COL","MUT","Female","466.73 ± 110.51","0.2 ± 0.06","124.54 ± 18.92","639.94 ± 124.89","0 ± 0","25.6 ± 7.97"
"8","MUC-COL","MUT","Male","156.8 ± 44.24","0.36 ± 0.16","432.56 ± 386.33","1372.27 ± 1205.77","0.03 ± 0.03","9.78 ± 2.51"
"9","TS-COL","WT","Female","139.05 ± 10.2","0.11 ± 0.01","13.9 ± 1.4","160.63 ± 10.6","0.01 ± 0","13.58 ± 1.2"
"10","TS-COL","WT","Male","117.69 ± 7.72","0.14 ± 0.01","15.48 ± 0.68","141.56 ± 6.24","0 ± 0","11.3 ± 0.61"
"11","TS-COL","MUT","Female","228.1 ± 78.79","0.15 ± 0.02","15.51 ± 1.32","181.57 ± 10.44","0.03 ± 0.01","16.44 ± 1.73"
"12","TS-COL","MUT","Male","133.31 ± 9.96","0.2 ± 0.03","17.23 ± 1.07","146.67 ± 8.72","0.01 ± 0","15.43 ± 2.07"
"13","Blood","WT","Female","3726.23 ± 173.34","0.03 ± 0.02","4.5 ± 0.76","30.97 ± 1.41","0 ± 0","0.1 ± 0.01"
"14","Blood","WT","Male","3552.59 ± 140","0.01 ± 0","2.98 ± 0.16","26.37 ± 1.37","0 ± 0","0.08 ± 0.01"
"15","Blood","MUT","Female","3647.44 ± 150.95","0.02 ± 0.01","4.23 ± 0.46","31.04 ± 1.58","0 ± 0","0.1 ± 0.01"
"16","Blood","MUT","Male","3453.18 ± 200.98","0.03 ± 0.01","3.29 ± 0.26","31.52 ± 2.34","0 ± 0","0.05 ± 0.01"
