feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Genotype	HET	2.86255980362216	0.501513654203288	47	41	9.05440868663046e-07	0.000121329076400848
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Genotype	MUT	2.25918385935336	0.523285623469979	47	41	8.83605914155117e-05	0.00592015962483928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Genotype	HET	-2.19621932337396	0.548900445286601	47	34	0.000238161703934354	0.0106378894424011
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	Genotype	HET	-2.38470982745036	0.748743631837627	47	43	0.00266063368374832	0.0713049827244551
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Genotype	HET	-0.429375533355107	0.134427338323245	47	47	0.00259318910511398	0.0713049827244551
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	Genotype	MUT	-2.36755052884338	0.780290107159192	47	15	0.00403830296115574	0.0901887661324782
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Genotype	HET	-1.50144559394726	0.602708230630521	47	43	0.0165769108278962	0.317329435848298
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Genotype	HET	-2.275376328008	0.987061626073168	47	40	0.0259307651971868	0.371663368485091
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Genotype	HET	1.22335785009103	0.533728517390249	47	43	0.0267412424385128	0.371663368485091
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	Genotype	HET	-1.70241571385362	0.74782513684428	47	15	0.0277360722750068	0.371663368485091
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Genotype	MUT	-1.24782693918854	0.572729594353814	47	34	0.0347506329143651	0.423325891865902
k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Genotype	HET	-1.92915987441997	0.906565074236786	47	23	0.0389771546908658	0.435244894048001
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	Genotype	HET	-0.925346695393512	0.460091292633229	47	22	0.0504526254202437	0.520050138947128
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	Genotype	MUT	-0.909301362359003	0.480065012987855	47	22	0.0647941619380305	0.542651106231005
k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	Genotype	HET	1.36375999262988	0.711107742570014	47	45	0.0616419524242453	0.542651106231005
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	Genotype	MUT	0.77927519474313	0.409699292369156	47	11	0.0637213365184115	0.542651106231005
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	Genotype	HET	-0.675893608840392	0.364824436427283	47	46	0.0706468405680891	0.556863331536703
