feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	Litter	eight	2.12853604908178	0.132240792680825	53	9	8.15525466595509e-20	7.19293461537239e-17
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium	Litter	eight	-1.69617228358109	0.152828459059862	53	35	3.32399451321936e-14	9.77254386886492e-12
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium	Litter	nine	-1.69617228358109	0.152828459059862	53	35	3.32399451321936e-14	9.77254386886492e-12
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Site	Cecum	-0.64105051509127	0.0680122306109202	53	53	6.64148713343258e-11	1.46444791292188e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Site	Cecum	2.06306356936522	0.227860783798308	53	53	1.80725987251294e-10	3.18800641511283e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Site	Cecum	2.10412507674009	0.239454850405784	53	53	3.2202137854631e-10	4.23896259171486e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Site	Cecum	2.07763955588178	0.235587230731228	53	53	3.36425602517052e-10	4.23896259171486e-08
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Cecum	2.8160170004757	0.325550298478178	53	53	5.0164871518083e-10	5.53067708486865e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Site	Cecum	1.9902539246974	0.233695014178945	53	53	6.80259887890295e-10	6.57229959463007e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	Litter	eight	-7.80883490362164	0.346655438776973	53	46	7.71607781570893e-10	6.57229959463007e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	Litter	nine	-7.76049546775084	0.346655438776973	53	46	8.19674552618263e-10	6.57229959463007e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Site	Cecum	1.81998331370716	0.218227395360625	53	53	1.16973584387611e-09	8.59755845248943e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Site	Cecum	3.69550214970848	0.47992637229331	53	44	6.70891019271531e-09	4.55173753074993e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Site	Cecum	1.87353192958952	0.250589530055728	53	53	1.2473741357406e-08	7.85845705516575e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Site	Proximal_Colon	1.75346657527033	0.235005769241372	53	53	1.35485574635602e-08	7.96655178857337e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Site	Cecum	2.28517468322676	0.316646197364697	53	50	2.80619194370751e-08	1.54691330896877e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Cecum	1.65146736032099	0.230265121277905	53	53	3.23356807280454e-08	1.67765120012565e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004	Site	Cecum	2.41798953712177	0.351493094464159	53	44	7.44799848235349e-08	3.64951925635321e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group	Site	Cecum	1.61861421594759	0.254718631431252	53	51	1.11462114139363e-07	5.17418866689042e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Site	Proximal_Colon	1.93266519395699	0.293694847885017	53	52	1.77183312584765e-07	7.81378408498812e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Proximal_Colon	1.47244850620205	0.225662763627838	53	53	2.1381498886258e-07	8.98022953222837e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Site	Cecum	1.35344801011815	0.209251867336682	53	53	2.36591756389576e-07	9.48517859707302e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Site	Cecum	0.577103359604878	0.0892637235670784	53	48	2.47838362698832e-07	9.50406243045086e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Litter	eight	1.94949343818805	0.163606333562537	53	18	3.17388959026538e-07	1.16640442442253e-05
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Site	Cecum	0.96583960502143	0.15276757394983	53	53	3.61360462007532e-07	1.27487970996257e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter	Litter	eight	1.29411093218125	0.216694485589539	53	12	4.0150952871442e-07	1.36204386279276e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	Site	Cecum	2.05320347739113	0.328106975572654	53	52	4.44486165555006e-07	1.40013142149827e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Site	Cecum	1.96725887723577	0.312873109897157	53	51	4.41730355348171e-07	1.40013142149827e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Cecum	1.60693153376863	0.258792951506571	53	53	5.12716955772446e-07	1.5593667413493e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Site	Cecum	1.38524949669429	0.226400948666368	53	53	6.69230876756286e-07	1.96753877766348e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Litter	nine	1.72308709556697	0.163606333562537	53	18	1.00123411035556e-06	2.84867253333421e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Proximal_Colon	1.51217824565421	0.253447005003075	53	53	1.058960302055e-06	2.88604375607455e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Site	Cecum	1.78456032087472	0.299651867403521	53	52	1.07981228968776e-06	2.88604375607455e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Site	Cecum	1.95295589347961	0.329060320565072	53	51	1.12038504952824e-06	2.90641062848207e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	Site	Cecum	1.70623777513208	0.28867125066231	53	51	1.20877792228354e-06	3.04612036415452e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Site	Proximal_Colon	1.25811671927198	0.213979430115669	53	53	1.3740091010321e-06	3.36632229752865e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Site	Cecum	0.929299653772297	0.16077690251796	53	53	1.82466090270609e-06	4.34959707077505e-05
