"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X1","X2","X3","X4","X5","X6","X7","coef_abs"
"1","BIOTIN.BIOSYNTHESIS.PWY","Genotype","MUT",-0.150740507891742,0.0812072184346765,82,0,0.0746198648963588,0.194419002831704,"biotin biosynthesis I","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","BIOTIN-SYN","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis",0.150740507891742
"2","BIOTIN.BIOSYNTHESIS.PWY","Genotype","MUT",-0.150740507891742,0.0812072184346765,82,0,0.0746198648963588,0.194419002831704,"biotin biosynthesis I","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.150740507891742
"3","FAO.PWY","Genotype","MUT",-0.231518388260782,0.117188052778077,82,0,0.0586445778410511,0.162686411448094,"fatty acid &beta;-oxidation I","Degradation","Fatty-Acid-and-Lipid-Degradation","Fatty-Acid-Degradation","Degradation","Fatty-Acid-and-Lipid-Degradation","Fatty-Acid-Degradation","Degradation",0.231518388260782
"4","FASYN.INITIAL.PWY","Genotype","MUT",-0.182079507985035,0.0999264062290521,82,0,0.0796679388519002,0.202215100080539,"superpathway of fatty acid biosynthesis initiation (E. coli)","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.182079507985035
"5","FASYN.INITIAL.PWY","Genotype","MUT",-0.182079507985035,0.0999264062290521,82,0,0.0796679388519002,0.202215100080539,"superpathway of fatty acid biosynthesis initiation (E. coli)","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis",0.182079507985035
"6","GLYCOGENSYNTH.PWY","Genotype","MUT",0.037767490243582,0.0216994436144458,82,0,0.0933661979730909,0.228518666367705,"glycogen biosynthesis I (from ADP-D-Glucose)","Biosynthesis","Carbohydrates-Biosynthesis","Polysaccharides-Biosynthesis","GLYCOGEN-BIOSYN","Biosynthesis","Carbohydrates-Biosynthesis","Polysaccharides-Biosynthesis",0.037767490243582
"7","HOMOSER.METSYN.PWY","Genotype","MUT",-0.105011668408554,0.05168736830364,82,0,0.0457297341051128,0.132852915000307,"L-methionine biosynthesis I","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","METHIONINE-SYN","Methionine-De-novo-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis",0.105011668408554
"8","HSERMETANA.PWY","Genotype","MUT",-0.18639749913996,0.0645372890239492,82,0,0.00771405865307782,0.0285705876039919,"L-methionine biosynthesis III","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.18639749913996
"9","HSERMETANA.PWY","Genotype","MUT",-0.18639749913996,0.0645372890239492,82,0,0.00771405865307782,0.0285705876039919,"L-methionine biosynthesis III","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","METHIONINE-SYN","Methionine-De-novo-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis",0.18639749913996
"10","LEU.DEG2.PWY","Genotype","MUT",-0.192634930152454,0.0993406169587471,82,0,0.0630235557835995,0.170994143598913,"L-leucine degradation I","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation","LEUCINE-DEG","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation",0.192634930152454
"11","MET.SAM.PWY","Genotype","MUT",-0.105249971744234,0.0479120332594109,82,0,0.0376872631580911,0.113875183643153,"superpathway of S-adenosyl-L-methionine biosynthesis","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.105249971744234
