feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Cecum	2.70546061072051	0.372469195580547	36	36	2.82176873269359e-07	9.59401369115821e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Site	Cecum	1.38408391188194	0.216860251345419	36	35	2.01517056012624e-06	0.000137031598088584
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Site	Cecum	1.76957447780569	0.270238755870342	36	36	1.38157866070822e-06	0.000137031598088584
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Site	Cecum	1.74136481892974	0.259474288845393	36	36	9.56606588300484e-07	0.000137031598088584
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Site	Cecum	2.43046081364761	0.376509228497689	36	30	1.7064086292077e-06	0.000137031598088584
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Site	Cecum	1.72006091590658	0.283574838861342	36	36	4.18282988027018e-06	0.000237027026548643
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Site	Cecum	1.83787261280219	0.310497542036685	36	36	5.88667954876898e-06	0.000285924435225922
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Site	Cecum	1.65783338301307	0.300764100204311	36	36	1.53933822694985e-05	0.000654218746453686
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Site	Cecum	1.58428653418125	0.297431116983171	36	36	2.39807592622595e-05	0.000905939794352026
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	Site	Cecum	1.40856894724199	0.26929540752776	36	35	3.01984626845114e-05	0.00102674773127339
