"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"1","COLANSYN.PWY","Genotype","HET",-0.0835486593782259,0.0479288519310598,89,0,0.0930343775557916,0.239944233723672,"colanic acid building blocks biosynthesis"
"2","DENOVOPURINE2.PWY","Genotype","MUT",-0.0707001853135526,0.0354294502413442,89,0,0.0564316177860369,0.154240937826267,"superpathway of purine nucleotides de novo biosynthesis II"
"3","FASYN.ELONG.PWY","Genotype","MUT",-0.0701823392536674,0.0339337972217328,89,0,0.0486306375138916,0.135085104205255,"fatty acid elongation -- saturated"
"4","FOLSYN.PWY","Genotype","MUT",0.0524594272337671,0.0219277646880169,89,0,0.024133908770266,0.0700481098208186,"superpathway of tetrahydrofolate biosynthesis and salvage"
"5","LEU.DEG2.PWY","Genotype","HET",-0.368139233298773,0.188796479227496,89,0,0.0617654681175096,0.16735585653227,"L-leucine degradation I"
"6","METH.ACETATE.PWY","Genotype","MUT",0.278470578652238,0.157472417102796,89,0,0.0884373179896038,0.229349891051877,"methanogenesis from acetate"
"7","NAGLIPASYN.PWY","Genotype","HET",-0.161041501724884,0.088096346006391,89,0,0.079058656701532,0.208488018727669,"lipid IVA biosynthesis"
"8","P101.PWY","Genotype","HET",0.279192834638018,0.15816463332858,89,0,0.0889563957873065,0.230059644277517,"ectoine biosynthesis"
"9","P562.PWY","Genotype","MUT",0.333201852689281,0.130565396514291,89,0,0.0167701496473081,0.049832061154838,"myo-inositol degradation I"
"10","P562.PWY","Genotype","HET",0.215696183795406,0.108597410215955,89,0,0.0573238080590678,0.156451441209246,"myo-inositol degradation I"
"11","PRPP.PWY","Genotype","HET",-0.11223053885752,0.0617190458231322,89,0,0.080348501481879,0.211295147655713,"superpathway of histidine, purine, and pyrimidine biosynthesis"
"12","PWY.1882","Genotype","HET",0.27750148361065,0.156933747506663,89,0,0.0882456356673696,0.229169760216507,"superpathway of C1 compounds oxidation to CO2"
"13","PWY.1882","Genotype","MUT",0.339206078569704,0.188545262384695,89,0,0.0832094703188711,0.217597987235542,"superpathway of C1 compounds oxidation to CO2"
"14","PWY.2941","Genotype","MUT",-0.103206394724861,0.049969991680263,89,0,0.048758512932712,0.135239958208336,"L-lysine biosynthesis II"
"15","PWY.5088","Genotype","HET",0.286691381079468,0.162313819217545,89,0,0.0886593976027451,0.229608246554071,"L-glutamate degradation VIII (to propanoate)"
"16","PWY.5088","Genotype","MUT",0.450099429615473,0.195097414542418,89,0,0.0290131893703761,0.0831800153967204,"L-glutamate degradation VIII (to propanoate)"
