Mouse ID,Sex,Tg,Genotype,Score
129,Male,Negative,WT,1
114,Male,Negative,WT,1
248,Male,Negative,WT,2
138,Female,Negative,WT,1
240,Female,Negative,WT,3
487,Female,Negative,WT,3
486,Female,Negative,WT,4
223,Male,Negative,WT,4
116,Male,Negative,HET,2
184,Male,Negative,HET,1
183,Male,Negative,HET,4
244,Male,Negative,HET,2
494,Male,Negative,HET,2
492,Male,Negative,HET,3
207,Female,Negative,HET,2
197,Female,Negative,HET,4
312,Female,Negative,HET,3
282,Female,Negative,HET,4
319,Female,Negative,HET,3
488,Female,Negative,HET,4
490,Female,Negative,HET,3
127,Male,Negative,MUT,3
128,Male,Negative,MUT,4
132,Male,Negative,MUT,3
211,Male,Negative,MUT,1
186,Male,Negative,MUT,4
242,Male,Negative,MUT,4
362,Male,Negative,MUT,4
365,Male,Negative,MUT,3
224,Male,Negative,MUT,4
243,Male,Negative,MUT,5
123,Female,Negative,MUT,3
124,Female,Negative,MUT,3
195,Female,Negative,MUT,3
194,Female,Negative,MUT,4
393,Female,Negative,MUT,5
115,Male,Positive,WT,3
125,Female,Positive,WT,4
137,Female,Positive,WT,3
208,Female,Positive,WT,2
206,Female,Positive,WT,4
187,Female,Positive,WT,4
118,Male,Positive,HET,4
121,Male,Positive,HET,2
210,Male,Positive,HET,3
209,Male,Positive,HET,2
185,Male,Positive,HET,5
135,Female,Positive,MUT,4
131,Male,Positive,MUT,4
130,Male,Positive,MUT,5
119,Male,Positive,MUT,4
136,Female,Positive,MUT,3
