"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"1","ANAEROFRUCAT.PWY","Genotype","MUT",0.0220736284692826,0.0101925813624434,90,0,0.0396934231894516,0.172082504583444,"homolactic fermentation"
"2","CALVIN.PWY","Genotype","MUT",0.0331370521377147,0.0169916717479448,90,0,0.0620122660566613,0.236682546782385,"Calvin-Benson-Bassham cycle"
"3","DENOVOPURINE2.PWY","Genotype","MUT",-0.0809387056321061,0.0414762975847527,90,0,0.061855900501909,0.236634782152652,"superpathway of purine nucleotides de novo biosynthesis II"
"4","FASYN.ELONG.PWY","Genotype","MUT",-0.0814865898611113,0.0346456319305131,90,0,0.0265239451136556,0.127206675545083,"fatty acid elongation -- saturated"
"5","FUCCAT.PWY","Genotype","MUT",0.195964063981458,0.0800917285150303,90,0,0.0214864950377651,0.110858146561918,"fucose degradation"
"6","GLUCOSE1PMETAB.PWY","Genotype","MUT",0.482958801835433,0.207284456507367,90,0,0.0278429056519632,0.132374508085201,"glucose and glucose-1-phosphate degradation"
"7","GLUCUROCAT.PWY","Genotype","MUT",0.0716136612654372,0.0360922726719968,90,0,0.0578850948780222,0.223528973372855,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
"8","GLYCOLYSIS","Genotype","MUT",0.0177178238781459,0.00769034840215417,90,0,0.0294752266223089,0.139731261653309,"glycolysis I (from glucose 6-phosphate)"
"9","GLYCOLYSIS.TCA.GLYOX.BYPASS","Genotype","MUT",0.506052506749727,0.249618018217765,90,0,0.052997574758363,0.211604394362881,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"10","METH.ACETATE.PWY","Genotype","MUT",0.258911953320568,0.107883018188219,90,0,0.0238539739722654,0.118908446013263,"methanogenesis from acetate"
"11","NAD.BIOSYNTHESIS.II","Genotype","MUT",0.185008447244847,0.0884825882718245,90,0,0.0464558952219639,0.191049869100326,"NAD salvage pathway II"
