"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X1","X2","X3","X4","X5","X6","X7","coef_abs"
"1","ANAEROFRUCAT.PWY","Genotype","MUT",0.0220736284692826,0.0101925813624434,90,0,0.0396934231894516,0.172082504583444,"homolactic fermentation","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0220736284692826
"2","ANAEROFRUCAT.PWY","Genotype","MUT",0.0220736284692826,0.0101925813624434,90,0,0.0396934231894516,0.172082504583444,"homolactic fermentation","Energy-Metabolism","Fermentation","Energy-Metabolism","Fermentation","Energy-Metabolism","Fermentation","Energy-Metabolism",0.0220736284692826
"3","CALVIN.PWY","Genotype","MUT",0.0331370521377147,0.0169916717479448,90,0,0.0620122660566613,0.236682546782385,"Calvin-Benson-Bassham cycle","Biosynthesis","Carbohydrates-Biosynthesis","CARBO-BIOSYNTHESIS","Biosynthesis","Carbohydrates-Biosynthesis","CARBO-BIOSYNTHESIS","Biosynthesis",0.0331370521377147
"4","CALVIN.PWY","Genotype","MUT",0.0331370521377147,0.0169916717479448,90,0,0.0620122660566613,0.236682546782385,"Calvin-Benson-Bassham cycle","Energy-Metabolism","Photosynthesis","Energy-Metabolism","Photosynthesis","Energy-Metabolism","Photosynthesis","Energy-Metabolism",0.0331370521377147
"5","CALVIN.PWY","Genotype","MUT",0.0331370521377147,0.0169916717479448,90,0,0.0620122660566613,0.236682546782385,"Calvin-Benson-Bassham cycle","Degradation","C1-COMPOUNDS","CO2-Fixation","Autotrophic-CO2-Fixation","Degradation","C1-COMPOUNDS","CO2-Fixation",0.0331370521377147
"6","DENOVOPURINE2.PWY","Genotype","MUT",-0.0809387056321061,0.0414762975847527,90,0,0.061855900501909,0.236634782152652,"superpathway of purine nucleotides de novo biosynthesis II","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0809387056321061
"7","DENOVOPURINE2.PWY","Genotype","MUT",-0.0809387056321061,0.0414762975847527,90,0,0.061855900501909,0.236634782152652,"superpathway of purine nucleotides de novo biosynthesis II","Biosynthesis","Nucleotide-Biosynthesis","PUR-NUC-SYN","Purine-Nucleotide-De-Novo-Biosynthesis","Biosynthesis","Nucleotide-Biosynthesis","PUR-NUC-SYN",0.0809387056321061
"8","FASYN.ELONG.PWY","Genotype","MUT",-0.0814865898611113,0.0346456319305131,90,0,0.0265239451136556,0.127206675545083,"fatty acid elongation -- saturated","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis",0.0814865898611113
"9","FUCCAT.PWY","Genotype","MUT",0.195964063981458,0.0800917285150303,90,0,0.0214864950377651,0.110858146561918,"fucose degradation","Degradation","Carbohydrates-Degradation","Sugars-And-Polysaccharides-Degradation","Degradation","Carbohydrates-Degradation","Sugars-And-Polysaccharides-Degradation","Degradation",0.195964063981458
"10","GLUCOSE1PMETAB.PWY","Genotype","MUT",0.482958801835433,0.207284456507367,90,0,0.0278429056519632,0.132374508085201,"glucose and glucose-1-phosphate degradation","Degradation","Carbohydrates-Degradation","Sugars-And-Polysaccharides-Degradation","Degradation","Carbohydrates-Degradation","Sugars-And-Polysaccharides-Degradation","Degradation",0.482958801835433
