feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Site	Proximal_Colon	2.57042399936161	0.499269957316146	31	31	7.05069221023177e-05	0.0267926303988807
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Site	Cecum	1.73642811603998	0.390003373691167	31	30	0.000296753606609546	0.0281915926279069
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Proximal_Colon	2.34502333639076	0.520388395532178	31	31	0.000227653702113224	0.0281915926279069
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Cecum	2.41921472561628	0.537912170841492	31	31	0.000227853403359575	0.0281915926279069
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Site	Proximal_Colon	1.66612871555949	0.405436682057551	31	30	0.000638274709687355	0.0312409295360306
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Cecum	2.64440726964604	0.65495944335146	31	31	0.000657703779705907	0.0312409295360306
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	Site	Proximal_Colon	2.53504218135684	0.618988394246981	31	22	0.000589319371762585	0.0312409295360306
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Site	Cecum	2.43647307654005	0.602289352954297	31	31	0.000639992548672066	0.0312409295360306
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Site	Cecum	1.85884963616386	0.500829100626645	31	31	0.00143744057677442	0.0364151612782854
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Site	Cecum	2.1940275949178	0.576103145220866	31	31	0.00107846610392394	0.0364151612782854
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Site	Proximal_Colon	2.04753902067912	0.572316211061601	31	31	0.00139187469105069	0.0364151612782854
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Site	Cecum	1.92938066321771	0.538247082621556	31	31	0.00136746416376601	0.0364151612782854
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__Peptococcus	Site	Cecum	2.0175225614609	0.519437671832261	31	30	0.000889684815323704	0.0364151612782854
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Site	Proximal_Colon	1.69856122253594	0.47010723007675	31	28	0.00127111815635982	0.0364151612782854
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium	Site	Cecum	0.507681460335673	0.13119442559062	31	31	0.00113380163319864	0.0364151612782854
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Site	Proximal_Colon	1.32071558550689	0.361214352688573	31	31	0.00176259467898264	0.039982460321991
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	Site	Proximal_Colon	2.31760493545104	0.629434797157609	31	31	0.00178868901440486	0.039982460321991
k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__Christensenellaceae.R.7.group	Site	Cecum	1.42586489619112	0.406594596546092	31	14	0.00255615060575333	0.0404723845910943
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Site	Proximal_Colon	2.13613099595142	0.615383040384861	31	31	0.00248526642865174	0.0404723845910943
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Site	Proximal_Colon	2.61457398757122	0.747783205111394	31	31	0.00239839979840933	0.0404723845910943
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Site	Cecum	2.51635826712149	0.719869325334009	31	31	0.00242543071435564	0.0404723845910943
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Site	Proximal_Colon	1.88037041864566	0.557934603902071	31	31	0.00235488760085576	0.0404723845910943
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Site	Proximal_Colon	1.97343349426209	0.549615606814207	31	30	0.00191858192100535	0.0404723845910943
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Site	Cecum	1.98170542183943	0.568584566814673	31	31	0.00230699935083758	0.0404723845910943
k__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	Site	Proximal_Colon	1.76847844734724	0.511103096138203	31	31	0.00272723166647437	0.0414539213304104
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group	Site	Proximal_Colon	2.32184762289786	0.676551291203192	31	27	0.00295222108775252	0.0431478466671522
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	Site	Proximal_Colon	2.98774265942986	0.881776922364371	31	27	0.00337781677744773	0.0458417991225049
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium	Site	Proximal_Colon	0.460433873523193	0.136174158282197	31	31	0.00329723993135916	0.0458417991225049
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Site	Proximal_Colon	1.93575895873129	0.597678104888208	31	31	0.00401588470174773	0.0520913680513703
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Site	Cecum	1.70946399586873	0.52929115627921	31	30	0.00439831998072326	0.0520913680513703
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Site	Cecum	1.73497031883777	0.553272761109572	31	30	0.00422179896132232	0.0520913680513703
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Site	Proximal_Colon	-1.40690925270645	0.450389953290414	31	5	0.00434916617506597	0.0520913680513703
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Genotype	HET	-1.27182572194927	0.409243219991276	31	5	0.004523724067619	0.0520913680513703
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Site	Cecum	1.5505958596485	0.480323002519715	31	31	0.00472494347143618	0.0528081917395809
k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	Site	Proximal_Colon	1.65214938316692	0.519760886663598	31	29	0.00504173266162414	0.0532182892060326
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Site	Proximal_Colon	1.96876144108939	0.625029621860197	31	31	0.00501895195771507	0.0532182892060326
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Site	Cecum	1.72014393596216	0.553402812057179	31	31	0.00603793813805298	0.0603793813805298
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	Site	Cecum	2.65435357020548	0.848413672163071	31	27	0.00597552729173016	0.0603793813805298
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Site	Cecum	1.80630909149013	0.593395321505198	31	31	0.00662957718245824	0.0645958802393367
k__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	Site	Cecum	1.47377206378762	0.491820694770953	31	31	0.00764964855750238	0.0726716612962726
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Proximal_Colon	1.63869571031837	0.558609280338889	31	31	0.00825632379242909	0.0741974140787111
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Site	Proximal_Colon	1.72579431558136	0.589963508442007	31	31	0.00824337612047932	0.0741974140787111
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__Peptococcus	Site	Proximal_Colon	1.56894630977323	0.538698423309152	31	30	0.00839602317206468	0.0741974140787111
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Genotype	MUT	1.87824908019762	0.616897960757897	31	17	0.0119815580346917	0.103477092117792
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Site	Cecum	-1.16633918337191	0.434497298975874	31	5	0.0124782481495002	0.105371873262447
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium	Site	Proximal_Colon	-1.68038926476493	0.620111153866601	31	5	0.0133406244973403	0.110205158891072
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Genotype	MUT	1.49624932194301	0.567234154475772	31	31	0.0139024293967906	0.112402620654902
k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	Site	Cecum	1.35153133573563	0.500002747279641	31	29	0.0142853185291973	0.113092105022812
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	Site	Proximal_Colon	1.91978210753328	0.706070103281663	31	22	0.0146626688288872	0.113710492958717
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004	Site	Proximal_Colon	1.87830888139063	0.716264276918088	31	23	0.0162064412822569	0.120377120471097
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Site	Cecum	1.79789605996482	0.685113367582471	31	31	0.0162959125647301	0.120377120471097
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Site	Cecum	1.16285117465152	0.453518823422043	31	28	0.0164726585907817	0.120377120471097
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Site	Cecum	1.38020307686769	0.533427660151225	31	17	0.0178824111356307	0.128213513802635
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae.UCG.011	Site	Cecum	1.86211187051916	0.744645949905432	31	26	0.0226696615204284	0.151762882451504
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Site	Cecum	1.55910399726255	0.624762154098993	31	31	0.0218994492394853	0.151762882451504
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	Site	Cecum	1.48033095319138	0.596150049938862	31	22	0.022371995137115	0.151762882451504
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Site	Proximal_Colon	1.75172083003628	0.710487994822678	31	31	0.0227644323677256	0.151762882451504
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	Site	Proximal_Colon	-2.09494420442029	0.852652243517847	31	20	0.023732239469822	0.152290267741327
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	Site	Cecum	-2.0120834122169	0.8206045843699	31	20	0.0240458317486306	0.152290267741327
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	Site	Cecum	-2.58031260847098	1.07057278040534	31	27	0.0233142045370601	0.152290267741327
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Site	Proximal_Colon	1.36774536425111	0.573509878243997	31	30	0.0246653326488948	0.153652891911148
k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__	Site	Cecum	1.84155360089324	0.754952487138169	31	17	0.0250938276483781	0.153800879135221
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Site	Proximal_Colon	1.61517033106364	0.66447016288961	31	31	0.0255245992231477	0.153957900076129
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	Site	Cecum	1.46182434036203	0.605474421086642	31	31	0.0270307121301672	0.155802057382844
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospira	Site	Proximal_Colon	-1.65127067113256	0.691721436013061	31	6	0.0271461314187157	0.155802057382844
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	Site	Proximal_Colon	2.30903065809318	0.959813216171131	31	20	0.0272818340949594	0.155802057382844
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Genotype	MUT	-1.06967829577949	0.457896969559378	31	5	0.0274703627490804	0.155802057382844
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Site	Cecum	0.828694966486136	0.347465747660117	31	31	0.0280797252669984	0.156916111786167
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria	Site	Cecum	-0.8300465721442	0.34889834487556	31	30	0.0286975160355804	0.158044291210443
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Site	Cecum	1.80741666212375	0.776425477371785	31	26	0.032902498654056	0.178613564122019
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	Site	Cecum	1.55688116491133	0.679194058106777	31	22	0.0350303338801607	0.186002798984971
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	Site	Cecum	1.16687301520065	0.511394884321029	31	28	0.0352426355971524	0.186002798984971
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium	Site	Cecum	-1.33796522898392	0.597616050057865	31	5	0.0366059858839867	0.189631348673751
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Site	Cecum	0.923106267308947	0.410093290491956	31	9	0.0369282100048883	0.189631348673751
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	Site	Cecum	1.49722427492323	0.665340719492483	31	21	0.0379567481104182	0.192314190426119
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Site	Cecum	-2.86271581822736	1.29275748121857	31	20	0.0397070040918135	0.198535020459068
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillospira	Genotype	MUT	1.87811332369699	0.752914377575553	31	10	0.0405035108353672	0.199887456070643
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillospira	Site	Proximal_Colon	1.11335898784067	0.507259657172987	31	10	0.0433792609373969	0.211334860977062
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	Site	Proximal_Colon	1.67933655889293	0.789879631134154	31	31	0.0466808648970254	0.224540869124933
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	Genotype	MUT	1.7146633639075	0.764592478222555	31	22	0.0477394117768749	0.226762205940156
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Site	Proximal_Colon	1.30112262133166	0.619903723286709	31	31	0.0498297321555506	0.233769113816163
