MouseID,Sex,Genotype,Colon Length,Colon Weight,Spleen Weight
1212,Male,HET,4,0.17,0.1054
1201,Male,MUT,4.1,0.264,0.087
1326,Male,MUT,4.3,0.2155,0.0493
1232,Male,WT,4.3,0.219,0.155
1300,Female,WT,4.3,0.3339,0.0815
1285,Female,WT,4.5,0.351,0.112
1231,Male,WT,4.6,0.265,0.118
1208,Male,HET,4.7,0.271,0.11
1230,Male,HET,4.8,0.376,0.136
1229,Male,HET,5,0.374,0.103
1209,Male,MUT,5,0.178,0.055
1334,Male,MUT,5,0.2828,0.128
1196,Male,WT,5,0.349,0.112
1331,Female,WT,5,0.151,0.121
1200,Male,MUT,5.1,0.278,0.076
1198,Male,HET,5.2,0.45,0.12
1199,Male,MUT,5.2,0.45,0.12
1322,Female,HET,5.4,0.2815,0.0794
1325,Female,HET,5.4,0.322,0.0792
1333,Male,HET,5.4,0.3622,0.1511
1202,Male,MUT,5.4,0.329,0.095
1327,Male,HET,5.5,0.3606,0.1577
1210,Male,MUT,5.5,0.421,0.129
1281,Female,MUT,5.5,0.3703,0.1173
1194,Male,WT,5.6,0.43,0.1084
1315,Female,MUT,5.7,0.3,0.1084
1332,Female,MUT,5.7,0.3375,0.139
1287,Female,WT,5.7,0.468,0.1746
1324,Female,HET,5.8,0.3615,0.1208
1288,Male,HET,5.9,0.3696,0.1709
1329,Male,MUT,6,0.4821,0.1476
1348,Male,MUT,6,0.3298,0.2034
1286,Female,HET,6.1,0.3166,0.1262
1190,Male,MUT,6.1,0.3,0.164
1277,Male,WT,6.3,0.3318,0.1563
1289,Male,WT,6.4,0.3923,0.0865
1276,Male,WT,6.9,0.4359,0.1012
1278,Male,WT,7,0.4094,0.1066
1189,Male,HET,NA,NA,NA
1195,Male,HET,NA,NA,NA
1197,Male,MUT,NA,NA,NA
1192,Male,WT,NA,NA,NA
