Number,Genotype,D0,D2,D4,D6,D8,Phenotype,Sex
1189,HET,0,1,2,4,4,Stool_Consistency,Male
1198,HET,0,1,1,4,4,Stool_Consistency,Male
1229,HET,0,0,2,3,4,Stool_Consistency,Male
1230,HET,0,1,1,3,4,Stool_Consistency,Male
1208,HET,0,0,1,3,4,Stool_Consistency,Male
1212,HET,0,0,0,3,3,Stool_Consistency,Male
1288,HET,0,1,2,3,3,Stool_Consistency,Male
1327,HET,0,1,1,3,3,Stool_Consistency,Male
1333,HET,0,0,2,4,3,Stool_Consistency,Male
1189,HET,0,1,2,4,4,Occult_Score,Male
1198,HET,1,2,3,4,4,Occult_Score,Male
1229,HET,0,1,3,4,3,Occult_Score,Male
1230,HET,0,1,2,4,4,Occult_Score,Male
1208,HET,0,0,1,4,2,Occult_Score,Male
1212,HET,0,1,3,3,3,Occult_Score,Male
1288,HET,0,0,1,4,1,Occult_Score,Male
1327,HET,0,0,1,4,4,Occult_Score,Male
1333,HET,0,1,3,4,1,Occult_Score,Male
1189,HET,0,2,4,11,12,Clinical_Score,Male
1198,HET,1,3,4,12,12,Clinical_Score,Male
1229,HET,0,1,5,9,11,Clinical_Score,Male
1230,HET,0,2,3,9,12,Clinical_Score,Male
1208,HET,0,0,2,9,9,Clinical_Score,Male
1212,HET,0,1,3,8,10,Clinical_Score,Male
1288,HET,0,1,3,8,7,Clinical_Score,Male
1327,HET,0,1,2,8,9,Clinical_Score,Male
1333,HET,0,1,5,9,6,Clinical_Score,Male
1286,HET,0,2,1,3,4,Stool_Consistency,Female
1322,HET,0,0,0,2,4,Stool_Consistency,Female
1324,HET,0,0,1,2,4,Stool_Consistency,Female
1325,HET,0,0,1,3,3,Stool_Consistency,Female
1286,HET,0,1,1,4,1,Occult_Score,Female
1322,HET,0,1,1,4,2,Occult_Score,Female
1324,HET,0,2,2,4,1,Occult_Score,Female
1325,HET,0,1,0,3,0,Occult_Score,Female
1286,HET,0,1,4,12,9,Clinical_Score,Female
1322,HET,0,2,5,11,12,Clinical_Score,Female
1324,HET,0,1,6,13,7,Clinical_Score,Female
1325,HET,0,2,2,7,8,Clinical_Score,Female
1209,MUT,0,0,2,2,4,Stool_Consistency,Male
1210,MUT,0,0,1,2,4,Stool_Consistency,Male
1190,MUT,0,1,3,3,4,Stool_Consistency,Male
1199,MUT,0,0,2,4,4,Stool_Consistency,Male
1200,MUT,0,0,2,4,4,Stool_Consistency,Male
1201,MUT,0,1,2,4,3,Stool_Consistency,Male
1202,MUT,0,1,0,4,4,Stool_Consistency,Male
1348,MUT,0,0,1,3,3,Stool_Consistency,Male
1326,MUT,0,0,1,4,4,Stool_Consistency,Male
1329,MUT,0,0,1,2,3,Stool_Consistency,Male
1334,MUT,0,0,1,3,3,Stool_Consistency,Male
1209,MUT,0,0,3,3,4,Occult_Score,Male
1210,MUT,0,0,1,2,1,Occult_Score,Male
1190,MUT,0,2,3,3,2,Occult_Score,Male
1199,MUT,0,2,3,4,1,Occult_Score,Male
1200,MUT,0,1,3,4,1,Occult_Score,Male
1201,MUT,0,2,3,4,2,Occult_Score,Male
1202,MUT,0,1,3,4,1,Occult_Score,Male
1348,MUT,0,0,3,4,2,Occult_Score,Male
1326,MUT,0,2,3,4,1,Occult_Score,Male
1329,MUT,0,2,3,3,1,Occult_Score,Male
1334,MUT,0,2,3,4,1,Occult_Score,Male
1209,MUT,0,0,5,7,12,Clinical_Score,Male
1210,MUT,0,0,2,6,7,Clinical_Score,Male
1190,MUT,0,4,6,8,10,Clinical_Score,Male
1199,MUT,0,2,5,10,7,Clinical_Score,Male
1200,MUT,0,1,5,10,9,Clinical_Score,Male
1201,MUT,0,3,5,10,9,Clinical_Score,Male
1202,MUT,0,2,3,10,8,Clinical_Score,Male
1348,MUT,0,0,4,9,7,Clinical_Score,Male
1326,MUT,0,2,5,11,9,Clinical_Score,Male
1329,MUT,0,2,4,5,5,Clinical_Score,Male
1334,MUT,0,2,4,9,6,Clinical_Score,Male
1281,MUT,0,0,1,3,4,Stool_Consistency,Female
1315,MUT,0,0,1,2,4,Stool_Consistency,Female
1332,MUT,0,0,2,4,4,Stool_Consistency,Female
1281,MUT,0,0,0,4,0,Occult_Score,Female
1315,MUT,0,1,2,4,1,Occult_Score,Female
1332,MUT,0,2,1,4,2,Occult_Score,Female
1281,MUT,0,3,6,14,9,Clinical_Score,Female
1315,MUT,0,0,7,13,9,Clinical_Score,Female
1332,MUT,0,4,8,15,10,Clinical_Score,Female
1192,WT,0,1,2,3,4,Stool_Consistency,Male
1194,WT,0,1,2,4,4,Stool_Consistency,Male
1196,WT,0,1,3,4,4,Stool_Consistency,Male
1231,WT,0,0,3,4,4,Stool_Consistency,Male
1232,WT,0,1,2,4,4,Stool_Consistency,Male
1289,WT,0,0,1,3,4,Stool_Consistency,Male
1276,WT,0,0,1,3,4,Stool_Consistency,Male
1277,WT,0,0,1,4,4,Stool_Consistency,Male
1278,WT,0,0,1,3,4,Stool_Consistency,Male
1192,WT,0,3,4,4,4,Occult_Score,Male
1194,WT,0,2,3,4,4,Occult_Score,Male
1196,WT,1,1,4,4,3,Occult_Score,Male
1231,WT,1,2,3,4,4,Occult_Score,Male
1232,WT,1,2,1,4,4,Occult_Score,Male
1289,WT,0,2,2,4,3,Occult_Score,Male
1276,WT,0,0,0,3,4,Occult_Score,Male
1277,WT,0,1,2,4,4,Occult_Score,Male
1278,WT,0,0,1,4,4,Occult_Score,Male
1192,WT,0,4,6,10,12,Clinical_Score,Male
1194,WT,0,3,5,9,12,Clinical_Score,Male
1196,WT,1,2,7,11,11,Clinical_Score,Male
1231,WT,1,3,7,11,12,Clinical_Score,Male
1232,WT,1,3,3,9,11,Clinical_Score,Male
1289,WT,0,2,3,10,11,Clinical_Score,Male
1276,WT,0,0,1,7,10,Clinical_Score,Male
1277,WT,0,1,3,9,11,Clinical_Score,Male
1278,WT,0,1,2,8,10,Clinical_Score,Male
1300,WT,0,0,1,3,4,Stool_Consistency,Female
1285,WT,0,1,1,3,4,Stool_Consistency,Female
1287,WT,0,1,1,2,3,Stool_Consistency,Female
1331,WT,0,0,2,3,NA,Stool_Consistency,Female
1300,WT,0,0,1,4,1,Occult_Score,Female
1285,WT,0,0,1,3,1,Occult_Score,Female
1287,WT,0,1,2,4,1,Occult_Score,Female
1331,WT,0,0,2,4,NA,Occult_Score,Female
1300,WT,1,2,2,11,14,Clinical_Score,Female
1285,WT,0,3,5,13,14,Clinical_Score,Female
1287,WT,0,1,2,11,14,Clinical_Score,Female
1331,WT,0,1,3,7,NA,Clinical_Score,Female
