"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X1","X2","X3","X4","X5","X6","X7","coef_abs"
"1","CRNFORCAT.PWY","Genotype","MUT",0.0496400515406015,0.0205324829938747,89,0,0.0234169409354209,0.0706689824658237,"creatinine degradation I","Degradation","AMINE-DEG","Creatinine-Degradation","Degradation","AMINE-DEG","Creatinine-Degradation","Degradation",0.0496400515406015
"2","GALLATE.DEGRADATION.I.PWY","Genotype","MUT",0.0565684781174582,0.0176579526604951,89,0,0.00371234812896484,0.0164022701645767,"gallate degradation II","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","GALLATE-DEG","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","GALLATE-DEG","Degradation",0.0565684781174582
"3","GALLATE.DEGRADATION.II.PWY","Genotype","MUT",0.0565684781174582,0.0176579526604951,89,0,0.00371234812896484,0.0164022701645767,"gallate degradation I","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","GALLATE-DEG","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","GALLATE-DEG","Degradation",0.0565684781174582
"4","GOLPDLCAT.PWY","Genotype","MUT",-0.241712769445667,0.135307336464488,89,0,0.0861738840312902,0.21730515538424,"superpathway of glycerol degradation to 1,3-propanediol","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.241712769445667
"5","GOLPDLCAT.PWY","Genotype","MUT",-0.241712769445667,0.135307336464488,89,0,0.0861738840312902,0.21730515538424,"superpathway of glycerol degradation to 1,3-propanediol","Degradation","Alcohol-Degradation","GLYCEROL-DEG","Degradation","Alcohol-Degradation","GLYCEROL-DEG","Degradation",0.241712769445667
"6","HOMOSER.METSYN.PWY","Genotype","MUT",-0.100257916091939,0.056410520809607,89,0,0.0876914388252286,0.220096829130648,"L-methionine biosynthesis I","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","METHIONINE-SYN","Methionine-De-novo-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis",0.100257916091939
"7","MET.SAM.PWY","Genotype","MUT",-0.0962867650697149,0.0549336780669663,89,0,0.0918980073561629,0.229518668618594,"superpathway of S-adenosyl-L-methionine biosynthesis","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0962867650697149
"8","METHYLGALLATE.DEGRADATION.PWY","Genotype","MUT",0.0564689510960409,0.0176433783330901,89,0,0.00373950191096129,0.0164526703096059,"methylgallate degradation","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","Degradation",0.0564689510960409
"9","P101.PWY","Genotype","MUT",0.0726294529889495,0.0195229256083402,89,0,0.000363305913641595,0.0022881502884011,"ectoine biosynthesis","Biosynthesis","Polyamine-Biosynthesis","Biosynthesis","Polyamine-Biosynthesis","Biosynthesis","Polyamine-Biosynthesis","Biosynthesis",0.0726294529889495
"10","P184.PWY","Genotype","MUT",0.0706055079592829,0.0190193024777836,89,0,0.000373150021242382,0.00234287381758375,"protocatechuate degradation I (meta-cleavage pathway)","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","Protocatechuate-Degradation","Degradation","AROMATIC-COMPOUNDS-DEGRADATION","Protocatechuate-Degradation","Degradation",0.0706055079592829
